MORE_THAN_STRONG_FLAVOUR,Extremely {0},非常に{0}
CONFIRM_RESEARCH_SWITCH,Currently researching {0}.\nSwitch research to {1}?\n(You will keep research progress on {0}),現在{0}を研究中。\n{1}の研究に変更する？\n({0}の研究進捗は残ります。)
CONFIRM_LOAD,Do you want to load this checkpoint?,このチェックポイントをロードする？
CONFIRM_SAVE,Do you want to overwrite this checkpoint?,このチェックポイントを上書きする？
CONSTRUCTION,Construction,建築
INVENTORY_CONTENT,Contents,内容
COOKING_READY,Done,できた！
COOKING_TIME_TEXT,Ready in {0},完成まで{0}
CURRENT_STATUS,Current Status,現在のステータス
CUSTOM_CHARACTERS,Custom Characters,カスタムキャラクター
CUSTOM_CHECKPOINT,Custom checkpoint,カスタムチェックポイント
CUSTOM_PORTRAIT_COUNT,Default portrait resolution is 344x446\n{0}/{1} portraits saved,画像のデフォルトサイズは344x446です。\n登録済みの数{0}/{1}。
VICTORY_CUSTOM,YOU SURVIVED!,生き延びた！
DAMAGES,Damages,ダメージ
A_DAY,a day,1日
DAY_COUNTER,Day {0},{0}日目
FORMAT_DAYS,0D,0D
DAYS,days,日
DAYS_SURVIVED,You survived for {0} days.,{0}日間生き残った。
DEFAULT,Default,デフォルト
CANCEL_FIGHT,Escape,逃げる
DEFAULT_CHARACTER,Default Character,デフォルトキャラクター
COOKING_SLOT,DRAG ITEMS HERE TO COOK,調理するアイテムをここにドラッグ
EMPTY_RECIPE_SLOT,COME BACK LATER,また後で来よう
ENCOUNTER_ENEMY_GETTING_CLOSE,{0} is approaching you.,{0}が近づいてきている。
DEFAULT_ENCOUNTER_ENEMY_NAME,Enemy,敵
START_FIGHT,Hunt it!,狩る！
FUEL_DEFAULT_NAME,Fuel,燃料
FUEL_FULL,{0} is full,{0}は燃料満タン
FUEL_ZERO,{0} ran out of fuel,{0}の燃料が切れた
INVENTORY_SLOT,DRAG ITEMS HERE,アイテムをここにドラッグ
LIQUID_DEFAULT_NAME,Quantity,量
PROGRESS_DEFAULT_NAME,Progress,進行度
PROGRESS_FULL,{0} is complete,{0}完了！
PROGRESS_ZERO,{0} ran out of uses,{0}を使い果たした。
SPOILAGE_DEFAULT_NAME,Spoilage,腐敗
SPOILAGE_FULL,{0} is good as new,{0}は新品同様だ。
SPOILAGE_ZERO,{0} spoiled,{0}が腐った
SPECIAL1_DEFAULT_NAME,Value 1,ASKDEV
SPECIAL2_DEFAULT_NAME,Value 2,ASKDEV
SPECIAL3_DEFAULT_NAME,Value 3,ASKDEV
SPECIAL4_DEFAULT_NAME,Value 4,ASKDEV
USAGE_DEFAULT_NAME,Durability,耐久度
USAGE_FULL,{0} is good as new,{0}は新品同様だ。
USAGE_ZERO,{0} broke,{0}が壊れた
DELETE_RECIPE_CONFIRM,Delete?,削除する？
DEMO_OVER,END OF FIRST DAYS,最初の日終了！
DIFFICULTY_SCORE,Difficulty: {0}pts,難易度：{0}ポイント
DISCARD_ACTION_DESC,Permanently get rid of this object.,このオブジェクトを破棄する。
DISCARD_ACTION_TITLE,Discard,破棄
DISMANTLE_DESC,Collect all items and revert to previous building stage.,すべてのアイテムを集め、前の建築ステージに戻る。
DISMANTLE_DESC_FIRST_STEP,Collect all items and destroy building.,すべてのアイテムを集め、建物を破壊する。
ITEM_DISSOLVED,{1} dissolved into {0},
DO_STACK_ACTION,Do x{0},{0}回する。
DOWN,Down,下
DURATION,Duration,時間
EAST,East,東
EMPTY,Empty,空っぽ
EQUIP_CARD,Equip {0},{0}を装備する
EQUIP_BOTH_HAND,Equip in Both Hands,両手に装備
EQUIP_MAIN_HAND,Equip in Main Hand,利き手に装備
EQUIP_OFF_HAND,Equip in Off Hand,反対の手に装備
EQUIPMENT,Equipment,装備
BUG_REPORT_CANNOT_SEND,"There was an error, cannot send bug report.\nPlease try again.",エラーが発生し、バグの報告が失敗しました。\nもう一度お試しください。
EVENT_TITLE,EVENT,イベント
EXPLORATION,Exploration,探検
EXPLORED,Explored,探検済み
EXPLORING,Exploring,探検中
VICTORY_FATE,FATE SEALED!,運命は決した！
FEMALE_ORGANS,Female sexual organs.,女性器
FILL_WITH_LIQUID,Fill {0} with {1},{0}に{1}を入れる
FINISHED_COOKING,{0} finished cooking {1},{0}は、{1}を料理した
FINISHED_COOKING_EMPTY,{0} is ready,{0}ができた
FREE_MODE,Free Mode,フリーモード
GAME_OVER,GAME OVER,ゲームオーバー
GIFT_THIS_TO_NPC,Gift these items to {0}?,これらのアイテムを{0}に贈りますか？
GIVE_CHASE,Give chase,追い掛ける
PLACEHOLDER_DISCLAIMER,{0}\n\n<b>-The text above is a placeholder-</b>,{0}\n\n<b>—上記の文はプレースホルダーです。—</b>
HIDE_HIDDEN_STATS,Hide hidden stats,隠しステータスを隠す
HIDE_STAT,Hide {0},{0}を隠す
HOLD_FOR_ACTION,Hold for action...,長押しでアクションする・・・
HOLD,Hold,Hold
HOPE_GOOD_TIME,We hope you had a good time!,プレイして頂きありがとうございます！
AN_HOUR,an hour,1時間
HELP_TAB,Help,ヘルプ
FORMAT_HOURS,0h,0時間
HOURS,hours,時間
HOVER,Hover,ホバー
IMPORT_PORTRAIT,Import Custom Portrait,ポートレートをインポート
IMPOSSIBLE_ACTION,I can't do this now...,今は無理だ・・・
IMPROVEMENT_DESC,{0} on a card for info,情報を確認するには、カードに{0}しよう
IMPROVEMENTS,Improvements,アップグレード
INTERACTION,Interaction,調べる
INSIDE,Inside,内側
INSPECTION_TITLE,DETAILS,詳細
INVENTORY_CANNOT_CARRY,{0} doesn't have room for this...,{0}にはもう何も入らない・・・
INVENTORY_FULL,{0} inventory full,{0} これ以上持てない
IS_NOT_EQUIPMENT,{0} is not equippable,{0}は装備できない
JOURNAL_SUBTITLE_NAME,The {0} tale of {2}\n({1}),{2}の{0}物語\n({1})
LAST_DAY_CHECKPOINT,Restart day,1日をやり直す
LAST_SEASON_CHECKPOINT,Restart season,季節をやり直す
LAST_WEEK_CHECKPOINT,Restart week,週をやり直す
LAST_YEAR_CHECKPOINT,Restart year,1年をやり直す
LESS_THAN,less than {0},{0}未満
LIQUID_AUTO_FILLING,Filling with {0},{0}を入れている
LIQUID_CONTAINER_EMPTY,{0} is empty,{0}は空っぽ
LIQUID_TRANSFER,Transfer Liquid,液体を移す
LOAD,Load,ロード
LOADING,LOADING,ロード中
MANY,many {0},たくさんの{0}
MAIN_HAND,Main Hand,利き手
MAGIC,Magic,魔法
MALE_ORGANS,Male sexual organs.,男性器
MEDIUM_FLAVOUR,Moderately {0},ほどほどの{0}
FORMAT_MINUTES,0min,0分
MINUTES,minutes,分
MISSING_CARD_EQUIPPED,Missing {0} equipped,装備した{0}がない
MISSING_CARD_INHAND,Missing {0} in hand,手札に{0}がない
MISSING_CARD_ONBOARD,Missing {0},{0}がない
MIXED_QUEST_MODE,Mixed Mode,ミックスモード
MORE_THAN,more than {0},{0}より上
MOVE_ITEM_TO_LOCATION,Move {0} to {1},{0}を{1}に移す
NAME_RECIPE,Name custom recipe,カスタムレシピに名前を付ける
NEW_BLUEPRINT,New Blueprint,新しい設計図
NEW_DAMAGE,Something got damaged!,何かに傷がついた！
NEW_IMPROVEMENT,New Improvement,新しいアップグレード
NO_DAMAGES,No Damages To Repair,修理する必要はない
NO_IMPROVEMENTS,No Improvements Unlocked,アンロックしたアップグレードはない
NONE,None,なし
NORTH,North,北
NO_SEXUAL_ORGANS,No sexual organs.,性器がない。
NO_WEAPON_EQUIPPED,No weapon equipped,武器を装備していない
OFF_HAND,Off Hand,反対の手
OFFICIAL_CHARACTERS,Fates,運命
ONGOING_QUESTS,Ongoing,途中
ON_GROUND,On Ground,地上
OUTSIDE,Outside,外側
PAUSED,Paused,ポーズ中
PICKUP_BOTH_HAND,Pick up in Both Hands,両手で拾う
PICKUP_MAIN_HAND,Pick up in Main Hand,利き手で拾う
PICKUP_OFF_HAND,Pick up in Off Hand,反対の手で拾う
ENCOUNTER_AND,... and {0},...そして、{0}
ENCOUNTER_BUT,... but {0},...しかし、{0}
PLAYER_CANNOT_CARRY,This is more than I can carry...,全部持てない・・・
QUEST_MODE,Quest Mode,クエストモード
QUEST_ONLY_MODE,Quest Only,クエストのみ
BUG_REPORT_READY,Ready to send report!,レポート送れます！
REALISTIC_MODE,Realistic Mode,リアルモード
EXISTING_RECIPE_NAME,Recipe name already taken!,そのレシピ名はすでに使われている！
BUG_REPORT_NEEDS_DESC,Please provide a description for the bug.,バグについて書いてください。
BUG_REPORT_NEEDS_TITLE,Please provide a title for the bug.,バグのタイトルを入れてください。
RESEARCH,Research,研究
RESEARCHING,Researching...,研究中・・・
RESEARCH_ONLY_MODE,Research Mode,リサーチモード
RESUME,Resume,再開
SAFE_MODE,Safe Mode,セーフモード
SAVE,Save,セーブ
SAVED_RECIPES_TAB,Recipes,レシピ
SAVE_NEW_GAME,Save New Custom Checkpoint,新しいカスタムチェックポイントを保存する
SELECT_CHARACTER,SELECT CHARACTER,キャラクター選択
SELECTED_CARDS,Selected Cards,選択したカード
SHEATHED,Sheathed,鞘に収めた
SHOW_HIDDEN_STATS,Show hidden stats,隠しステータスを表示
SHOW_STAT,Show {0},{0}を表示
SLOT,Slot,スロット
SOUTH,South,南
START_BUILDING,Start the construction of,建設開始：
STAT_INFLUENCES,Influenced by,影響を受けている
INVENTORY_STORE,Store inside {0},{0}に保管する
STRONG_FLAVOUR,Very {0},とても{0}
SUBTLE_FLAVOUR,Slightly {0},わずかに{0}
SUCCESS_CHANCE,Success,成功
SURVIVAL_BONUS,Survival bonus,サバイバルボーナス！
SWITCH_BOTH_HANDS,Switch to Both Hands,両手に持ち替える
SWITCH_MAIN_HAND,Switch to Main Hand,利き手に持ち替える
SWITCH_OFF_HAND,Switch to Off Hand,反対の手に持ち替える
TIME_IS_BETWEEN,It's between {0} and {1},{0}と{1}の間
TIP,Tip,ヒント
BLAND,Tastes bland...,味が薄い・・・
TOO_INTENSE_TASTE,Too {0}...,味が{0}・・・
TRACKING_NAME,The tracks belong to {0}.,{0}の足跡。
TRACKING_DIRECTION,The tracks are going {0}.,{0}への足跡。
TRACKING_TIME,The tracks were left {0} ago.,足跡は{0}前から残ってる。
TRACK_QUEST,Track {0},{0}を追跡
TRACKING_WEIGHT,The tracks were left by something of {0} weight.,足跡はおそらく{0}くらいの重さのものが残した。
TRADE_STEALING,Stealing is wrong!,物を盗んだらダメ！
TRADE_SLOT,Drag items here to trade,交換するには、アイテムをここにドラッグする。
TRADE_THIS_WITH_NPC,Trade these items with {0}?,これらのアイテムを{0}と取引しますか？
SPECIAL_LIQUID_TRANSFER,Transfer {0},{0}を移す
TRANSFER_TO_LOCATION,Move Item,アイテムを移動する
TRASH_CONFIRM,Throw {0} away?,{0}を捨てる？
DEMO_UNAVAILABLE,Full Game Only,フルゲームのみ
UNKNOWN_CHARACTER,Unknown,不明
TO_UNLOCK,To unlock:,アンロックリスト：
UNSHEATHE_BOTH_HAND,Unsheathe to Both Hands,両手で抜く
UNSHEATHE_MAIN_HAND,Unsheathe to Main Hand,利き手で抜く
UNSHEATHE_OFF_HAND,Unsheathe to Off Hand,反対の手で抜く
UNTRACK_QUEST,Untrack {0},{0}の追跡を止める
UP,Up,上
VICTORY_BONUS,Victory Bonus,勝利ボーナス
BUG_REPORT_COOLDOWN,You need to wait {0}s to send a new bug report.,新しいバグを報告するまで{0}秒お待ちください。
WAYS_CHARACTERS,Ways,生き様
VICTORY_WAY,WAY MASTERED!,マスター済み！
ENCOUNTER_WEAPON_AND_PROJECTILE,{0} and {1},{0}と{1}
WEST,West,西
WOUNDED,YOU GOT WOUNDED!,怪我してしまった！
WOUNDS,Wounds,怪我
YEAR_NUMBER,Year {0},{0}年
YOU,You,あなた
GuideManager_AllTips[0],You can bookmark cards from their description windows so you can quickly jump to them.,カードの詳細画面からブックマークすれば、簡単にカードが見つかるようになる。
GuideManager_AllTips[1],You can right-click on cards to make them quickly jump from one row to another.,カードを右クリックすれば別の列に移動させることができる。
GuideManager_AllTips[2],You can move stacks from one row to another by holding left-click on the top or bottom of a card.,カードの上か下を長押し、ドラッグすればカードのスタックを別の列に移動させることができる。
GuideManager_AllTips[3],"If you're too hot, consider taking clothes off or getting wet to lower your temperature.",暑すぎる時は、服を脱ぐか、体を濡らして体温を下げてみよう。
GuideManager_AllTips[4],"Clearing areas can give you wood, sticks, dry leaves and bugs to use as bait.",開けた土地では木材、枝、枯れ葉、餌に使える虫が手に入る。
EncounterWindow_StatEnforcedPlayerActions[0].LogMessage.LogText,Fear overwhelms you!\n<b>You disentangle yourself from the fight as best you can and run for dear life!</b>,恐ろしすぎる！<b> 戦いから離れ、なるべく遠くへ逃げた！</b>
EncounterWindow_StatEnforcedPlayerActions[0].Action.ActionName,Demoralized Escape,落胆した逃亡
EncounterWindow_StatEnforcedPlayerActions[0].Action.ActionSuccessLog.LogText,you manage to escape!,なんとか逃げ出せた！
EncounterWindow_StatEnforcedPlayerActions[0].Action.ActionFailureLog.LogText,you manage to escape!,なんとか逃げ出せた！
EncounterWindow_StatEnforcedPlayerActions[1].Action.ActionName,Defeat,敗北
EncounterWindow_StatEnforcedPlayerActions[1].Action.ActionSuccessLog.LogText,something breaks in you...,あなたの中で何かが壊れる・・・
EncounterWindow_StatEnforcedPlayerActions[1].Action.ActionFailureLog.LogText,something breaks in you...,あなたの中で何かが壊れる・・・
EncounterWindow_PlayerEscapeAction.ActionName,Escape!,逃げる！
EncounterWindow_PlayerEscapeAction.ActionSuccessLog.LogText,you manage to escape!,なんとか逃げ出せた！
EncounterWindow_PlayerEscapeAction.ActionFailureLog.LogText,you manage to escape!,なんとか逃げ出せた！
EncounterWindow_PlayerGetCloseAction.ActionName,Charge,突撃
EncounterWindow_PlayerGetCloseAction.ActionSuccessLog.LogText,you move into close combat!,接近戦が始まった！
EncounterWindow_PlayerGetCloseAction.ActionFailureLog.LogText,you move into close combat!,接近戦が始まった！
EncounterWindow_PlayerBreakFreeAction.ActionName,Break Free,拘束から逃れる
EncounterWindow_PlayerBreakFreeAction.ActionSuccessLog.LogText,you push the {0} away and get on your feet.,{0}を突き飛ばし、立ち上がった。
EncounterWindow_PlayerBreakFreeAction.ActionFailureLog.LogText,you can't get away from the {0}!,{0}から離れられない！
EncounterWindow_PlayerRecoverAction.ActionName,Recover,回復
EncounterWindow_GeneralPlayerActions[0].ActionName,Dodge,回避
EncounterWindow_EnemyHiddenLog.LogText,{0} catches you off guard!,{0}から不意打ちをうけた！
EncounterWindow_EnemyHiddenPluralLog.LogText,{0} catch you off guard!,{0}から不意打ちをうけた！
EncounterWindow_PlayerHiddenLog.LogText,{0} hasn't noticed you yet...,{0}はまだ気づいていない・・・
EncounterWindow_PlayerHiddenPluralLog.LogText,{0} haven't noticed you yet...,{0}はまだ気づいていない・・・
EncounterWindow_PlayerStealthAttackLog.LogText,You approach silently...,静かに近づいた・・・
EncounterWindow_PlayerVulnerableLog.LogText,You lose your footing and are left in a vulnerable state...,バランスを崩してしまい、危機に陥った・・・
EncounterWindow_EnemyVulnerableLog.LogText,{0} is off balance and vulnerable!,{0}はバランスを崩し、無防備になった。
EncounterWindow_PlayerWeaponActionSuccessLog.LogText,you manage to land a hit with your {1}.,{1}でなんとか攻撃を当てることができた。
EncounterWindow_PlayerWeaponActionFailureLog.LogText,you fail to land a hit with your {1}.,{1}の攻撃が外れてしまった。
EncounterWindow_DefaultEnemyDefeatedEncounterLog.LogText,You are victorious!,勝利！
EncounterWindow_DefaultEnemyEscapedEncounterLog.LogText,The foe runs away from combat...,敵が逃げてしまった・・・
EncounterWindow_DefaultPlayerEscapedLog.LogText,You retreat from combat...,戦いから逃げた・・・
EncounterWindow_DefaultPlayerDemoralizedLog.LogText,You run away from the {0}.,{0}から逃げた。
EncounterWindow_DefaultInitiatingChaseLog.LogText,Should you run after the {0}?,{0}を追う？
EncounterWindow_DefaultChaseSuccessfulLog.LogText,You manage to catch up with it!,なんとか追いついた！
EncounterWindow_DefaultChaseFailedLog.LogText,It escapes your grasp.,逃してしまった。
EncounterWindow_DefaultLeaveBeLog.LogText,You let the {0} run away.,{0}を逃してしまった。
EncounterWindow_EquipInMainHandLog.LogText,You hold your {0} in your main hand.,利き手で{0}を構えた。
EncounterWindow_EquipInOffHandLog.LogText,You hold your {0} in your off hand.,反対の手で{0}を構えた。
EncounterWindow_EquipInBothHandsLog.LogText,You hold your {0} with both hands.,両手で{0}を構えた。
EncounterWindow_SheatheLog.LogText,You sheathe away your {0}.,{0}を鞘に戻した。
EncounterWindow_DropOnGroundLog.LogText,You drop your {0}.,{0}を落とした。
EncounterWindow_DefaultWeaponBrokeLog.LogText,Your {0} broke!,{0}が壊れた！
HELP,Help,ヘルプ
CARD_INSPECTION_TITLE,DETAILS,情報
LEAVE_BE,Leave it be,放っておく
CONTINUE,Continue,続ける
BACK,Back,戻る
CONFIRM_QUESTION,Confirm?,確定する？
COMBAT_SELECT_WEAPON,Pick your weapon,武器選択
NO,No,いいえ
YES,Yes,はい
PRESS_KEY_TO_CONTINUE,PRESS A KEY TO CONTINUE,キーを押して続行
CONVERSION_ERROR,"AN ERROR OCCURED DURING SAVE CONVERSION, PLEASE CONTACT US ON DISCORD OR BY EMAIL.",
CONVERTING_SAVES_WAIT,"CONVERTING SAVE FILES, THIS CAN TAKE SOME TIME...",
SAFETY_DISCLAIMER,"This game is a work of fiction. Please don't attempt to reproduce or perform the actions depicted here.\nDoing so could have serious, harmful consequences and we don't want anything bad happening to you!",このゲームはフィクションです。\nゲーム内で描かれている行為を実際に真似しないでください。\n重大な事故や怪我につながるおそれがあります。\nどうかご自身の安全を第一にお考えください。
OBJECTIVE_COMPLETE,OBJECTIVE COMPLETE,目標クリア！
VISUAL_EFFECTS,Visual effects,視覚効果(VFX)
REVERT_OPTIONS,Revert to Default Options,デフォルト設定に戻す
AMBIENCE,Ambience,環境音
SFX,Sound Effects,効果音
MISC,MISC.,その他
INTERFACE,INTERFACE,インターフェース
VOLUME,VOLUME,音量
OPTION_CONTRAST,Contrast,コントラスト
RESET_GAME,Reset Game,ゲームをリセットする
CUSTOMIZE_UI,Customize UI (Coming Soon),UIカスタマイズ（近日公開)
OPTION_BRIGHTNESS,Brightness,明るさ
LANGUAGE,Language,言語
APPLY,Apply,適用する
RESOLUTION,Resolution,解像度
FULLSCREEN,Fullscreen,フルスクリーン
FONT_STYLE,Font Style,フォント変更
INVERT_SCROLL,Invert Horizontal Scroll,横スクロールを反転させる
SCROLL_SENSITIVITY,Scroll Sensitivity,スクロール速度
VSYNC,VSync,垂直同期
DISPLAY,DISPLAY,ディスプレイ
RESET_GAME_CONFIRM,"This will delete all progress, custom characters and unlocked perks, and reset the options.\nReset the game?",セーブデータがすべて消えてしまいます。（カスタムキャラクター、アンロックした特典、リセットオプション含む）\n ゲームを最初から始めますか？
OPTIONS_MENU_TITLE,OPTIONS,オプション
LANGUAGE_CHANGE_CONFIRM,Changing the language requires a restart (your progress will be saved if you're in a run). Do you wish to proceed?,言語を変更するにはゲームを再起動する必要があります。 (現在のゲームは保存されます) 続けますか？
CONFIRM_DELETE_SLOT,Delete this slot?,削除しますか？
NEW_GAME,NEW GAME,NEW GAME
CHECKPOINT_PICK_MODE,PICK A MODE,モードを選択
GAMEMODE_LIST,GAMEMODES,ゲームモード
TUTORIAL,TUTORIAL,チュートリアル
EASY_MODE_TITLE,EASY MODE,EASY MODE
THANKS_CHINESE_VIDEOS,"大头哥哥的游戏世界, 逆风笑, 老番茄 & 冰IC\n<size=75\n%>For their bilibili videos on Card Survival.</size>","大头哥哥的游戏世界, 逆风笑, 老番茄 & 冰IC\n<size=75\n%>For their bilibili videos on Card Survival.</size>"
TROPICAL_ISLAND_SUBTITLE,Tropical Island,トロピカル・アイランド
PURCHASE,Purchase,購入
SAFE_MODE_DESC,Checkpoint mode + you can manually save at any point.,チェックポイントモードに加え、手動セーブも可能。
MIDJOURNEY,Portraits created using MidJourney,MidJourneyを使ったアート
QUEST_ONLY_MODE_DESC,"Quest driven progression, ideal for new players.",クエストでゲームのプログレスが進む。新しいプレイヤー向け。
SAVE_CHARACTER,Submit,保存する
CHARACTER_CREATION_CONFIRM,Your character will have the following reproductive organs:,キャラクターは以下の生殖器を持つ：
RESEARCH_ONLY_MODE_DESC,Find your own path through research. Ideal for Card Survival veterans.,リサーチして自分の進む道を見つけよう。カード・サバイバルのベテラン向け。
SAVEFILE_WRITING_ERROR,"It seems there was an error while attempting to write the save file for the game. \n\nUnfortunately this means your current game can't be saved. If you have opened your save file in another program this could be the cause for the error, close that program and try saving again.\n\nIf this is not the case and this message keeps appearing, please notify us in the Steam forums and send us your Player.log file at winterspringgames@gmail.com. Our apologies for the inconvenience.",ゲームファイル保存時に、エラーが発生してしまいました。\n\n現在のゲームデータは保存できません。もし他のプログラムでこのセーブデータを開いていたら、それがエラーの原因かもしれません。一度プログラムを閉じ、もう一度セーブしてみてください。 \n\n もしまたエラーが発生してしまったら、スチームを通してお問い合わせください。winterspringgames@gmail.com宛にPlayer.log ファイルを送ってください。
EQUIPPED_PERKS,Equipped Perks,装備特性
CREATE_CHARACTER_DESC,Customize the experience by creating your own character,独自のキャラクターを作成しカスタマイズする
PLAY_TUTORIAL,Do you want to play the tutorial?,チュートリアルをプレイする？
SPECIAL_THANKS,Special thanks to:,スペシャルサンクス：
DONT_REMIND_EASY_PACKAGE,"Yes, stop reminding me",はいはい、もうわかったから。
SELECT_A_PERK,SELECT A PERK,パーク選択
THANKS_RETROMATION,Retromation \n<size=75\n%>For being an all around great guy & for showing our game to the world.</size>,RETROMATION\n<size=75\n%>素晴らしい人でいて、世界にCARD SURVIVALの名前を広めてくれてありがとう。</size>
EXIT_CHARACTER_WITHOUT_SAVING,Exit without saving?,保存せずに終了しますか？
NEW_PROGRESSION_POPUP,"Starting from this update, character perks will now have to be unlocked.\n\n<b>Would you like to keep old perks unlocked?</b>\n(Active game files will keep their perks regardless)",このアップデート以降、キャラクター特性は解除が必要になります。\n\n<b>以前の特性を解除済みのままにしますか？</b>\n（現在のセーブデータでは特性は維持されます）
STARTING_CONDITIONS,Starting Conditions,開始時の状態
OUR_CHINESE_VOLUNTEERS,Our chinese translation volunteers:,中国語翻訳ボランティア：
EXIT_CHARACTER_WITHOUT_NAME,Please enter a name for your character,キャラクターの名前を入力してください
START_GAME_BUTTON,START GAME,開始する
PLAY_THE_BETA,How to play the beta,ベータ版のプレイ方法
MIXED_MODE_DESC,Blueprints can be unlocked by researching them or completing quests.,設計図はリサーチやクエストをクリアしてアンロックできる。
CREATE_NEW_CHARACTER,CREATE NEW CHARACTER,キャラクターを作成
OK,Ok,OK
DELETING_PORTRAIT,DELETING CUSTOM PORTRAIT...,カスタムポートレートの削除
THANKS_THENEOMARE,The Neomare \n<size=75\n%>For being another great guy & showing his constant support both in his Youtube channel & the forums.</size>,「The Neomare」\n<size=75\n%>。いつもいい人でいて、YouTubeチャンネルとカードサバイバルのフォーラムで応援してくれてありがとう。</size>
ALLOWED_CHARACTERS,Allowed Characters,使用可能な文字
OUR_PATRONS,Our supporters on Patreon:,Patreonのサポーターの皆さん：
LOADING_PORTRAITS,LOADING CUSTOM PORTRAITS...,カスタムポートレートをロード中・・・
CHECKPOINT_MODE_DESC,Auto checkpoints that you can revert to at any point or on death.,いつでも戻れる自動チェックポイント
SELECT_GAMEMODE,NEW GAME - SELECT GAMEMODE,ニューゲーム：モード選択
FANTASY_SUBTITLE,<size=75%>Fantasy Forest</size>,<size=70%>Fantasy Forest</size><size=30%>日訳改善版</size>
DELETE_CONFIRM,Are you sure you want to delete?\n,本当に削除しますか？\n
REALISTIC_MODE_DESC,"No checkpoints, no loading, just like in real life.",チェックポイントもロードもない。現実世界と同じ。
QUIT_CONFIRM_MENU,Quit the game?,ゲームを終了しますか？
CARD_SURVIVAL_TITLE,CARD SURVIVAL,CARD SURVIVAL
OUR_OTHER_GAMES,Our other games,WinterSpringの他のゲーム
OPEN_LOG,Open the Player.log location,Player.logの保存場所を開く
FREE_MODE_DESC,Free experience. All blueprints start unlocked. Might get removed in the future.,自由なゲームモード。全ての設計図がアンロックされる。いつかゲームから無くなるかもしれないモード。
EASY_PACKAGE_TOGGLE,Easy Mode,イージーモード
CANCEL_EASY_PACKAGE,Cancel,キャンセル
EASY_PACKAGE_DESC,Card Survival is designed to be challenging and unforgiving.\n\nEasy Mode provides you with basic supplies so you can have more time to learn and train.,カードサバイバルは難易度が高く、容赦ないゲームです。\n\nイージーモードは、練習できるように基本装備を持った状態から始まります。
KEEP_PLAYING,"Ok, let's keep playing",よし、続けよう
GAME_BY,By WinterSpring Games:,WinterSpringGames作：
INFO_AND_NEWS,PATCH NOTES & NEWS,パッチノート＆ニュース
IMPORTING_PORTRAIT,IMPORTING CUSTOM PORTRAIT...,カスタムアートをインポート中・・・
DEMO_GET_FULL_GAME,Get the full <b>GAME</b>,<b>フルゲーム</b>を手に入れよう
ENTER_NAME,ENTER NAME,名前を入力
SELECT_GAME,SELECT GAME,ゲーム選択
NEXT,NEXT,次
EDIT_CHARACTER,Edit Character,キャラクター編集
NOT_AVAILABLE_YET,NOT AVAILABLE YET,まだ利用できない
